event_id,case_id,event_type,category,customer_id,merchant_id,obligation_id,obligation_type,amount_paise,amount_paid_paise,outstanding_amount_paise,currency,payment_method,bank,failure_reason,root_cause,created_at,hour_of_day,day_of_week,day_of_month,days_overdue,persona,customer_segment,customer_tenure_days,successful_payment_count,failed_payment_count_90d,previous_retry_success,previous_dunning_response,ptp_history_count,fulfilled_ptp_count,partial_payment_count,disputed_payment_count,invoice_count,subscription_count,average_days_late,days_since_last_payment,preferred_payment_hour,preferred_payment_day,channel_preference,last_contact_channel,contact_count_7d,contact_count_30d,sms_open_rate,whatsapp_read_rate,email_open_rate,voice_answer_rate,consent_sms,consent_email,consent_whatsapp,consent_voice,payment_method_changes_90d,device_change_count_30d,gateway_latency_ms,bank_status,is_international,is_anonymous_checkout,mandate_status,link_state,last_webhook_status,conversation_intent_hint,customer_message_sample,event_quality_flag
evt_syn_00001,case_syn_00001,payment.failed,Insufficient funds (low),cus_0257,mer_health_04,obl_syn_00001,payment,739800,0,739800,INR,emandate,IDFC,insufficient_funds_low,insufficient_funds,1788164880,8,0,31,0,P7,startup,804,17,1,0.679,whatsapp_responsive,0,0,2,1,3,3,3.7,68,10,11,WHATSAPP,EMAIL,1,4,0.179,0.902,0.574,0.628,1,1,1,1,0,2,1529,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Salary aate hi pay kar dunga.,normal
evt_syn_00002,case_syn_00002,payment.failed,Insufficient funds (low),cus_0152,mer_retail_01,obl_syn_00002,payment,420200,0,420200,INR,upi,ICICI,insufficient_funds_low,insufficient_funds,1788159180,6,0,31,2,P6,startup,399,11,2,0.76,sms_responsive,0,0,0,0,3,1,4.5,25,20,6,SMS,PAYMENT_LINK,0,5,0.621,0.397,0.297,0.325,1,1,1,1,2,0,1535,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Please send reminder tomorrow evening.,normal
evt_syn_00003,case_syn_00003,payment.failed,Insufficient funds (low),cus_0265,mer_saas_02,obl_syn_00003,payment,166000,0,166000,INR,card,IDFC,insufficient_funds_low,insufficient_funds,1788161100,7,0,31,2,P7,smb,953,21,4,0.45,whatsapp_responsive,0,0,2,0,2,2,4.8,55,14,17,WHATSAPP,SMS,0,1,0.218,0.886,0.165,0.615,1,1,1,1,0,2,1322,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Salary aate hi pay kar dunga.,normal
evt_syn_00004,case_syn_00004,payment.failed,Insufficient funds (low),cus_0111,mer_retail_01,obl_syn_00004,payment,574000,0,574000,INR,card,HDFC,insufficient_funds_low,insufficient_funds,1788157740,6,0,31,5,P2,enterprise,1058,25,6,0.666,needs_salary_day,4,4,1,0,1,5,6.2,69,19,7,WHATSAPP,WHATSAPP,0,7,0.172,0.865,0.172,0.629,1,1,1,0,2,1,152,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Please send reminder tomorrow evening.,normal
evt_syn_00005,case_syn_00005,payment.failed,Insufficient funds (low),cus_0068,mer_saas_02,obl_syn_00005,payment,330000,0,330000,INR,upi,Axis,insufficient_funds_low,insufficient_funds,1788152760,5,0,31,8,P10,smb,954,13,2,0.256,partial_payer,8,7,1,0,12,1,14.5,44,21,15,WHATSAPP,WHATSAPP,1,10,0.326,0.861,0.349,0.409,1,1,1,0,2,3,358,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Please send reminder tomorrow evening.,normal
evt_syn_00006,case_syn_00006,payment.failed,Insufficient funds (low),cus_0104,mer_saas_02,obl_syn_00006,payment,869000,0,869000,INR,card,ICICI,insufficient_funds_low,insufficient_funds,1788154320,5,0,31,6,P2,consumer,840,16,6,0.54,needs_salary_day,2,0,0,0,1,4,7.0,23,21,14,WHATSAPP,VOICE_CALL,2,8,0.377,0.948,0.141,0.19,1,1,1,1,1,0,1122,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Salary aate hi pay kar dunga.,normal
evt_syn_00007,case_syn_00007,payment.failed,Insufficient funds (low),cus_0405,mer_travel_05,obl_syn_00007,payment,928000,0,928000,INR,upi,Yes Bank,insufficient_funds_low,insufficient_funds,1788155760,5,0,31,4,P6,smb,711,16,2,0.649,sms_responsive,1,0,2,1,3,3,1.3,44,15,24,SMS,PAYMENT_LINK,3,10,0.918,0.323,0.451,0.246,1,1,1,1,2,2,1747,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Salary aate hi pay kar dunga.,normal
evt_syn_00008,case_syn_00008,payment.failed,Insufficient funds (low),cus_0411,mer_health_04,obl_syn_00008,payment,396100,0,396100,INR,card,HDFC,insufficient_funds_low,insufficient_funds,1788149700,4,0,31,2,P6,consumer,405,5,0,0.716,sms_responsive,0,0,0,1,1,1,1.5,29,12,19,SMS,VOICE_CALL,2,2,0.676,0.199,0.358,0.14,1,1,1,1,3,0,683,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Please send reminder tomorrow evening.,normal
evt_syn_00009,case_syn_00009,payment.failed,Insufficient funds (low),cus_0171,mer_saas_02,obl_syn_00009,payment,621000,0,621000,INR,emandate,Federal,insufficient_funds_low,insufficient_funds,1788149700,4,0,31,4,P3,smb,838,5,8,0.365,avoidant,2,2,1,0,0,2,10.2,28,21,4,SMS,WHATSAPP,0,11,0.914,0.118,0.409,0.36,1,1,1,0,3,3,1067,normal,1,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Please send reminder tomorrow evening.,normal
evt_syn_00010,case_syn_00010,payment.failed,Insufficient funds (low),cus_0388,mer_travel_05,obl_syn_00010,payment,295700,0,295700,INR,card,Axis,insufficient_funds_low,insufficient_funds,1788156360,6,0,31,7,P1,enterprise,411,10,0,0.688,calm,0,0,1,0,6,3,2.4,74,13,9,EMAIL,VOICE_CALL,1,2,0.572,0.484,0.678,0.392,1,1,1,1,3,3,1383,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Salary aate hi pay kar dunga.,normal
evt_syn_00011,case_syn_00011,payment.failed,Insufficient funds (low),cus_0153,mer_travel_05,obl_syn_00011,payment,169800,0,169800,INR,emandate,Yes Bank,insufficient_funds_low,insufficient_funds,1788151680,4,0,31,5,P2,consumer,305,0,6,0.516,needs_salary_day,5,2,0,0,3,3,2.2,66,21,3,WHATSAPP,PAYMENT_LINK,0,5,0.425,0.833,0.078,0.265,1,1,1,1,2,3,1157,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Salary aate hi pay kar dunga.,normal
evt_syn_00012,case_syn_00012,payment.failed,Insufficient funds (low),cus_0153,mer_travel_05,obl_syn_00012,payment,547100,0,547100,INR,upi,IDFC,insufficient_funds_low,insufficient_funds,1788150660,4,0,31,5,P2,consumer,305,0,6,0.516,needs_salary_day,5,2,0,0,3,3,2.2,66,21,3,WHATSAPP,PAYMENT_LINK,0,5,0.425,0.833,0.078,0.265,1,1,1,1,2,3,969,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Salary aate hi pay kar dunga.,normal
evt_syn_00013,case_syn_00013,payment.failed,Insufficient funds (low),cus_0075,mer_travel_05,obl_syn_00013,payment,374100,0,374100,INR,upi,ICICI,insufficient_funds_low,insufficient_funds,1788149760,4,0,31,3,P3,startup,71,0,8,0.236,avoidant,3,0,2,0,0,1,8.6,15,20,3,SMS,VOICE_CALL,3,10,0.894,0.136,0.552,0.329,1,1,1,1,4,1,349,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Please send reminder tomorrow evening.,normal
evt_syn_00014,case_syn_00014,payment.failed,Insufficient funds (low),cus_0321,mer_edu_03,obl_syn_00014,payment,460900,0,460900,INR,emandate,Kotak,insufficient_funds_low,insufficient_funds,1788149460,4,0,31,5,P6,enterprise,188,0,3,0.446,sms_responsive,2,1,1,1,1,5,4.5,17,15,23,SMS,WHATSAPP,0,6,0.768,0.434,0.226,0.382,1,1,1,1,1,1,677,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Salary aate hi pay kar dunga.,normal
evt_syn_00015,case_syn_00015,payment.failed,Insufficient funds (low),cus_0076,mer_retail_01,obl_syn_00015,payment,326800,0,326800,INR,card,Federal,insufficient_funds_low,insufficient_funds,1788148140,3,0,31,4,P2,enterprise,1376,26,4,0.537,needs_salary_day,5,0,2,0,5,1,6.8,2,20,20,WHATSAPP,VOICE_CALL,3,9,0.462,0.894,0.522,0.261,1,1,1,1,4,0,1092,normal,0,0,not_applicable,not_created,valid,REQUEST_PAYMENT_LINK,Salary aate hi pay kar dunga.,normal
